comid,stream_order,stream_lat,stream_lon,max_forecasted_flow,date_exceeds_return_period_2,date_exceeds_return_period_5,date_exceeds_return_period_10,date_exceeds_return_period_25,date_exceeds_return_period_50,date_exceeds_return_period_100
13037406.0,3,48.54999923706055,-83.31964874267578,48.5,2022-10-27 06:00:00,,,,,
13037022.0,2,48.59909057617188,-82.22979736328125,8.19,2022-10-21 21:00:00,,,,,
13037008.0,3,48.6053466796875,-82.2848892211914,69.38,2022-10-30 06:00:00,,,,,
13036907.0,4,48.62775421142578,-93.03854370117188,235.68,2022-10-21 00:00:00,,,,,
13036913.0,5,48.623985290527344,-93.1064453125,449.37,2022-10-21 00:00:00,,,,,
13036885.0,3,48.6557846069336,-92.8687744140625,101.13,2022-10-21 00:00:00,,,,,
13036884.0,4,48.70255279541016,-93.00129699707033,136.43,2022-10-21 00:00:00,,,,,
13036761.0,2,48.66543960571289,-91.16127014160156,3.04,2022-10-21 00:00:00,,,,,
13036735.0,3,48.68897247314453,-92.6211166381836,97.19,2022-10-21 00:00:00,,,,,
13036311.0,4,48.77458190917969,-92.95458221435548,130.85,2022-10-21 00:00:00,2022-10-21 00:00:00,,,,
13036310.0,2,48.78841781616211,-92.95790100097656,3.68,2022-10-21 00:00:00,,,,,
13036912.0,5,48.62739562988281,-93.18269348144533,452.69,2022-10-21 00:00:00,,,,,
13036688.0,2,48.678802490234375,-93.32036590576172,4.66,2022-10-24 15:00:00,,,,,
13036670.0,3,48.694122314453125,-93.29142761230467,76.66,2022-10-21 00:00:00,,,,,
13035942.0,5,48.87548828125,-87.82765197753906,281.22,2022-10-21 00:00:00,,,,,
13035940.0,2,48.95505905151367,-87.715087890625,13.91,2022-10-21 00:00:00,,,,,
13036548.0,3,48.74820709228516,-92.29451751708984,94.82,2022-10-21 00:00:00,,,,,
13037381.0,3,48.597686767578125,-78.07347106933594,106.15,2022-10-25 21:00:00,,,,,
13036953.0,3,48.64421463012695,-82.2139663696289,78.27,2022-10-29 12:00:00,,,,,
13036552.0,3,48.77051544189453,-93.32754516601562,70.11,2022-10-21 00:00:00,2022-10-24 21:00:00,,,,
13036674.0,2,48.68983840942383,-82.98583221435547,10.6,2022-10-25 18:00:00,,,,,
13036171.0,3,48.82003021240234,-93.42980194091795,30.72,2022-10-21 00:00:00,2022-10-24 18:00:00,,,,
13036096.0,2,48.860008239746094,-93.35723876953124,39.79,2022-10-21 00:00:00,2022-10-21 00:00:00,,,,
13036465.0,3,48.743309020996094,-91.98538970947266,88.69,2022-10-21 00:00:00,,,,,
13037619.0,2,48.60717391967773,-81.97186279296875,26.42,2022-10-24 00:00:00,,,,,
13037224.0,2,48.62053680419922,-83.55010223388672,15.93,2022-10-26 15:00:00,,,,,
13036999.0,3,48.67647552490234,-83.38727569580078,55.52,2022-10-27 12:00:00,,,,,
13036408.0,3,48.75810241699219,-91.83544921875,83.21,2022-10-21 00:00:00,,,,,
13036359.0,3,48.762577056884766,-91.7545928955078,77.16,2022-10-21 00:00:00,,,,,
13036351.0,3,48.76743316650391,-91.6795425415039,68.06,2022-10-21 00:00:00,,,,,
13036272.0,3,48.865535736083984,-91.6281967163086,66.39,2022-10-21 00:00:00,,,,,
13036290.0,2,48.91160583496094,-92.03468322753906,19.64,2022-10-21 00:00:00,,,,,
13036318.0,3,48.771820068359375,-92.4532699584961,21.17,2022-10-21 00:00:00,,,,,
13036284.0,4,48.80210494995117,-92.85934448242188,129.83,2022-10-21 00:00:00,2022-10-21 00:00:00,,,,
13036217.0,2,48.852447509765625,-69.0462875366211,25.99,2022-10-22 00:00:00,,,,,
13036707.0,3,48.72225189208984,-77.98038482666016,110.68,2022-10-26 12:00:00,,,,,
