Name,Lat,Lon,One year flood,Two year flood
"WEKIWA SPRINGS NEAR APOPKA, FL",28.71221844,-81.45979299,nan,nan
"PEMBINA RIVER AT NECHE, ND",48.9897138,-97.5570221,5405.315789473684,8696.0
"BUFFALO CREEK NEAR WHEELING, IL",42.15194444,-87.9577778,307.36842105263156,373.1
GREAT CHAZY RIVER AT PERRY MILLS NY,44.9996111,-73.5020833,3403.684210526316,3724.0
NEW R AT INTERNATIONAL BOUNDARY AT CALEXICO CA,32.6658925,-115.5030501,346.4736842105263,411.4
"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA",38.90888916,-77.3382627,83.10000000000001,119.54
"Rio Grande nr Castolon, TX",29.13798,-103.5249033,9575.78947368421,13041.0
LOS ANGELES R A SEPULVEDA DAM CA,34.16167247,-118.466749,3692.684210526316,5081.0
SAN DIEGO R A MAST RD NR SANTEE CA,32.84032675,-117.0258627,643.578947368421,1032.3
"SNAKE CREEK CANAL AT NW67 AVE NR HIALEAH, FL",25.96425918,-80.310884,nan,nan
"Big Fossil Ck at Haltom City, TX",32.80735146,-97.2486256,nan,nan
EAST MEADOW BROOK AT FREEPORT NY,40.66563889,-73.5700833,199.42105263157896,258.88
St. Mary Canal at St. Mary Crossing near Babb MT,48.94696667,-113.3753306,639.3157894736842,649.9
"Frankford Creek at Castor Ave, Philadelphia, PA",40.0159454,-75.0968411,1212.2105263157894,nan
"NOGALES WASH AT NOGALES, AZ",31.3432722,-110.9316722,266.89473684210526,384.0
WEST PALM BEACH CANAL AT WEST PALM BEACH FLA,26.64478938,-80.0586527,1756.2631578947369,2485.5
"Boggy Ck at Manor Rd, Austin, TX",30.2861111,-97.7086111,74.2578947368421,91.44999999999999
SAN DIEGO R A FASHION VALLEY AT SAN DIEGO CA,32.76504998,-117.1686449,1228.9473684210527,2099.9
LOS PENASQUITOS C NR POWAY CA,32.9431013,-117.1216999,658.6842105263158,1028.2
"ALEWIFE BROOK NEAR ARLINGTON, MA",42.40704077,-71.1339422,77.08421052631579,93.57
