POINTING OPTIONS COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 1.0
Mission Duration [Days] is 1.0
time index,pnt-opt index,lat [deg],lon [deg]
637,0,-30.677,272.454
638,0,-30.724,272.479
639,0,-30.771,272.504
640,0,-30.818,272.529
641,0,-30.865,272.554
642,0,-30.912,272.579
643,0,-30.959,272.605
644,0,-31.006,272.63
645,0,-31.053,272.655
646,0,-31.1,272.68
647,0,-31.147,272.705
648,0,-31.193,272.731
649,0,-31.24,272.756
650,0,-31.287,272.781
651,0,-31.334,272.807
652,0,-31.381,272.832
653,0,-31.428,272.858
654,0,-31.475,272.883
655,0,-31.522,272.909
656,0,-31.569,272.934
657,0,-31.615,272.96
658,0,-31.662,272.985
659,0,-31.709,273.011
660,0,-31.756,273.037
661,0,-31.803,273.062
662,0,-31.85,273.088
663,0,-31.896,273.114
664,0,-31.943,273.139
665,0,-31.99,273.165
666,0,-32.037,273.191
667,0,-32.083,273.217
668,0,-32.13,273.243
669,0,-32.177,273.269
670,0,-32.224,273.295
671,0,-32.271,273.321
672,0,-32.317,273.347
673,0,-32.364,273.373
674,0,-32.411,273.399
675,0,-32.457,273.425
676,0,-32.504,273.451
677,0,-32.551,273.477
678,0,-32.598,273.504
679,0,-32.644,273.53
680,0,-32.691,273.556
681,0,-32.738,273.582
682,0,-32.784,273.609
683,0,-32.831,273.635
684,0,-32.878,273.661
685,0,-32.924,273.688
686,0,-32.971,273.714
687,0,-33.018,273.741
688,0,-33.064,273.767
689,0,-33.111,273.794
690,0,-33.157,273.821
691,0,-33.204,273.847
692,0,-33.251,273.874
693,0,-33.297,273.901
694,0,-33.344,273.927
695,0,-33.39,273.954
696,0,-33.437,273.981
697,0,-33.484,274.008
698,0,-33.53,274.035
699,0,-33.577,274.061
700,0,-33.623,274.088
701,0,-33.67,274.115
702,0,-33.716,274.142
703,0,-33.763,274.169
704,0,-33.809,274.196
705,0,-33.856,274.224
706,0,-33.902,274.251
707,0,-33.949,274.278
708,0,-33.995,274.305
709,0,-34.042,274.332
710,0,-34.088,274.36
711,0,-34.135,274.387
712,0,-34.181,274.414
713,0,-34.228,274.442
714,0,-34.274,274.469
715,0,-34.32,274.496
716,0,-34.367,274.524
717,0,-34.413,274.551
718,0,-34.46,274.579
719,0,-34.506,274.607
720,0,-34.552,274.634
721,0,-34.599,274.662
722,0,-34.645,274.689
723,0,-34.691,274.717
724,0,-34.738,274.745
725,0,-34.784,274.773
726,0,-34.83,274.801
727,0,-34.877,274.828
728,0,-34.923,274.856
729,0,-34.969,274.884
730,0,-35.016,274.912
731,0,-35.062,274.94
732,0,-35.108,274.968
733,0,-35.155,274.996
734,0,-35.201,275.025
735,0,-35.247,275.053
736,0,-35.293,275.081
737,0,-35.339,275.109
738,0,-35.386,275.137
739,0,-35.432,275.166
740,0,-35.478,275.194
741,0,-35.524,275.223
742,0,-35.571,275.251
743,0,-35.617,275.279
744,0,-35.663,275.308
745,0,-35.709,275.336
746,0,-35.755,275.365
747,0,-35.801,275.394
748,0,-35.848,275.422
749,0,-35.894,275.451
750,0,-35.94,275.48
751,0,-35.986,275.508
752,0,-36.032,275.537
753,0,-36.078,275.566
754,0,-36.124,275.595
755,0,-36.17,275.624
756,0,-36.216,275.653
757,0,-36.262,275.682
758,0,-36.308,275.711
759,0,-36.354,275.74
760,0,-36.4,275.769
761,0,-36.447,275.798
762,0,-36.493,275.827
763,0,-36.539,275.857
764,0,-36.585,275.886
765,0,-36.631,275.915
766,0,-36.676,275.945
767,0,-36.722,275.974
768,0,-36.768,276.003
769,0,-36.814,276.033
770,0,-36.86,276.062
771,0,-36.906,276.092
772,0,-36.952,276.122
773,0,-36.998,276.151
774,0,-37.044,276.181
775,0,-37.09,276.211
776,0,-37.136,276.24
777,0,-37.182,276.27
778,0,-37.227,276.3
779,0,-37.273,276.33
780,0,-37.319,276.36
781,0,-37.365,276.39
782,0,-37.411,276.42
783,0,-37.457,276.45
784,0,-37.502,276.48
785,0,-37.548,276.51
786,0,-37.594,276.54
787,0,-37.64,276.571
788,0,-37.686,276.601
789,0,-37.731,276.631
790,0,-37.777,276.661
791,0,-37.823,276.692
792,0,-37.868,276.722
793,0,-37.914,276.753
794,0,-37.96,276.783
795,0,-38.006,276.814
796,0,-38.051,276.845
797,0,-38.097,276.875
798,0,-38.143,276.906
799,0,-38.188,276.937
800,0,-38.234,276.967
801,0,-38.28,276.998
802,0,-38.325,277.029
803,0,-38.371,277.06
804,0,-38.416,277.091
805,0,-38.462,277.122
806,0,-38.508,277.153
807,0,-38.553,277.184
808,0,-38.599,277.215
809,0,-38.644,277.246
810,0,-38.69,277.278
811,0,-38.735,277.309
812,0,-38.781,277.34
813,0,-38.826,277.372
814,0,-38.872,277.403
815,0,-38.917,277.434
816,0,-38.963,277.466
817,0,-39.008,277.498
818,0,-39.054,277.529
819,0,-39.099,277.561
820,0,-39.145,277.592
821,0,-39.19,277.624
822,0,-39.235,277.656
823,0,-39.281,277.688
824,0,-39.326,277.72
825,0,-39.371,277.752
826,0,-39.417,277.784
827,0,-39.462,277.816
828,0,-39.508,277.848
829,0,-39.553,277.88
830,0,-39.598,277.912
831,0,-39.644,277.944
832,0,-39.689,277.976
833,0,-39.734,278.009
834,0,-39.779,278.041
835,0,-39.825,278.073
836,0,-39.87,278.106
837,0,-39.915,278.138
838,0,-39.96,278.171
839,0,-40.006,278.203
840,0,-40.051,278.236
841,0,-40.096,278.269
842,0,-40.141,278.302
843,0,-40.186,278.334
844,0,-40.231,278.367
845,0,-40.277,278.4
846,0,-40.322,278.433
847,0,-40.367,278.466
848,0,-40.412,278.499
849,0,-40.457,278.532
850,0,-40.502,278.565
851,0,-40.547,278.598
852,0,-40.592,278.632
853,0,-40.637,278.665
854,0,-40.682,278.698
855,0,-40.727,278.732
856,0,-40.772,278.765
857,0,-40.817,278.799
858,0,-40.862,278.832
859,0,-40.907,278.866
860,0,-40.952,278.899
861,0,-40.997,278.933
862,0,-41.042,278.967
863,0,-41.087,279.001
864,0,-41.132,279.034
865,0,-41.177,279.068
866,0,-41.222,279.102
867,0,-41.267,279.136
868,0,-41.312,279.17
869,0,-41.356,279.204
870,0,-41.401,279.239
871,0,-41.446,279.273
872,0,-41.491,279.307
873,0,-41.536,279.341
874,0,-41.581,279.376
875,0,-41.625,279.41
876,0,-41.67,279.445
877,0,-41.715,279.479
878,0,-41.76,279.514
879,0,-41.804,279.548
880,0,-41.849,279.583
881,0,-41.894,279.618
882,0,-41.938,279.653
883,0,-41.983,279.688
884,0,-42.028,279.723
885,0,-42.072,279.758
886,0,-42.117,279.793
887,0,-42.162,279.828
888,0,-42.206,279.863
889,0,-42.251,279.898
890,0,-42.295,279.933
891,0,-42.34,279.969
892,0,-42.384,280.004
893,0,-42.429,280.039
894,0,-42.474,280.075
895,0,-42.518,280.11
896,0,-42.563,280.146
897,0,-42.607,280.182
898,0,-42.651,280.217
899,0,-42.696,280.253
900,0,-42.74,280.289
901,0,-42.785,280.325
902,0,-42.829,280.361
903,0,-42.874,280.397
904,0,-42.918,280.433
905,0,-42.962,280.469
906,0,-43.007,280.505
907,0,-43.051,280.541
908,0,-43.095,280.577
909,0,-43.14,280.614
910,0,-43.184,280.65
911,0,-43.228,280.687
912,0,-43.273,280.723
913,0,-43.317,280.76
914,0,-43.361,280.796
915,0,-43.405,280.833
916,0,-43.45,280.87
917,0,-43.494,280.907
918,0,-43.538,280.944
919,0,-43.582,280.98
920,0,-43.626,281.017
921,0,-43.67,281.055
922,0,-43.714,281.092
